Molecular Weight (g/mol),Density (g/cm3),C in comononmer A,C in comononmer B,%B,CH in A,CH in A+B,CH2 in A,CH2 in A+B,CH3 in A+B,CH bonds A+B,N in A+B,O in A+B,C=O,%C=O,Rings,%C in rings,Tm(°C),Tg (°C),Crystallinity%,"Critical thickness of the specimen (Lcrit, mm)",Surface area (mm2),Specific surface area (mm2/mm3),Pretrement,Level,Temperature,Humidity,pH,k Biodegradation rate (s^-1) first-order,T Lag time (days),A%,Testing duration (days)
10000,1.22,8,0,0,0,0,6,6,0,12,0,4,2,16.66666667,0,0,46,-49.5,26.41,0.9,259.99,2.56,1 Indoor,6,37,1,6.8,1.5884E-07,0,93.89,7
10000,1.22,8,0,0,0,0,6,6,0,12,0,4,2,16.66666667,0,0,46,-49.5,26.41,0.9,259.99,2.56,1 Indoor,7,37,1,6.8,2.98326E-07,0,93.89,7
200000,1.25,4,5,24,1,2,1,3,2,14,0,4,2,15.38461538,0,0,135,-1.89,25.21,0.9,259.99,2.56,1 Indoor,6,37,1,6.8,1.66862E-09,0,99.14,7
200000,1.25,4,5,24,1,2,1,3,2,14,0,4,2,15.38461538,0,0,135,-1.89,25.21,0.9,259.99,2.56,1 Indoor,6,37,1,6.8,1.66862E-09,0,99.14,7
200000,1.25,4,5,24,1,2,1,3,2,14,0,4,2,15.38461538,0,0,135,-1.89,25.21,0.9,259.99,2.56,1 Indoor,7,37,1,6.8,8.15524E-07,0,99.14,7
200000,1.25,4,5,24,1,2,1,3,2,14,0,4,2,15.38461538,0,0,135,-1.89,25.21,0.9,259.99,2.56,1 Indoor,7,37,1,6.8,1.22919E-06,0,99.14,7
57759,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,69,-28.15,93,0.385,0.465662571,15.58441558,1 Indoor,4,22,1,7.4,7.7106E-07,21.35,100,65
57759,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,69,-28.15,93,0.385,0.465662571,15.58441558,1 Indoor,1,22,1,7.4,7.691E-07,4.157,15.21,133
26642,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,63,-32,91,0.385,0.465662571,15.58441558,1 Indoor,4,22,1,7.4,3.1389E-06,21.38,95.63,61
26642,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,63,-32,91,0.385,0.465662571,15.58441558,1 Indoor,1,22,1,7.4,1.0094E-06,0,15.11,133
14629,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,67,-36,90,0.385,0.465662571,15.58441558,1 Indoor,4,22,1,7.4,0.000003294,3.732,100,27
14629,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,67,-36,90,0.385,0.465662571,15.58441558,1 Indoor,1,22,1,7.4,8.2766E-07,17.83,42.81,176
10310,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,65,-41,89,0.385,0.465662571,15.58441558,1 Indoor,4,22,1,7.4,3.2894E-06,3.734,100,28
10310,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,65,-41,89,0.385,0.465662571,15.58441558,1 Indoor,1,22,1,7.4,3.7581E-07,17.44,80.34,181
7426,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,63,-41,89,0.385,0.465662571,15.58441558,1 Indoor,4,22,1,7.4,0.000004691,3.678,100,27
7426,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,63,-41,89,0.385,0.465662571,15.58441558,1 Indoor,1,22,1,7.4,4.4826E-07,20.24,95.5,165
4519,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,55,-41,89,0.385,0.465662571,15.58441558,1 Indoor,4,22,1,7.4,2.1979E-06,1.238,100,30
4519,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,55,-41,89,0.385,0.465662571,15.58441558,1 Indoor,1,22,1,7.4,3.3796E-07,18.3,100,123
4519,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,55,-41,89,0.385,0.465662571,15.58441558,1 Indoor,4,22,1,7.4,0.000002022,4.21,88.13,29
4519,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,55,-41,89,0.385,0.465662571,15.58441558,1 Indoor,1,22,1,7.4,2.0463E-07,31.51,95.94,123
2009,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,55,-41,87,0.385,0.465662571,15.58441558,1 Indoor,4,22,1,7.4,0.000006478,2.954,98.05,28
2009,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,55,-41,87,0.385,0.465662571,15.58441558,1 Indoor,1,22,1,7.4,1.3287E-06,7.542,95.94,28
974,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,35,-53.6,86,0.385,0.465662571,15.58441558,1 Indoor,4,22,1,7.4,0.000007265,1.403,91.35,36
974,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,35,-53.6,86,0.385,0.465662571,15.58441558,1 Indoor,1,22,1,7.4,0.000023877,6.431,97.19,28
251,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,6,-66.15,84,0.385,0.465662571,15.58441558,1 Indoor,4,22,1,7.4,2.3449E-06,1.194,96.9,36
251,1.11,2,0,0,0,0,2,2,0,4,0,1,0,0,0,0,6,-66.15,84,0.385,0.465662571,15.58441558,1 Indoor,1,22,1,7.4,1.0222E-06,3.692,100,41
183750,1.22,4,0,0,0,0,3,3,0,6,0,2,1,16.66666667,0,0,50,-44,13.1,0.23,8509.8,8.757190635,1 Indoor,6,37,1,7,4.174E-08,0,97.52,30
183750,1.22,4,0,0,0,0,3,3,0,6,0,2,1,16.66666667,0,0,50,-44,13.1,0.23,8509.8,8.757190635,1 Indoor,6,37,1,7,1.61582E-08,0,97.52,30
183750,1.22,7,4,20,4,4,3,6,0,16,1,7,2,10.52631579,1,63.64,74.9,-20,10,0.23,8509.8,8.757190635,1 Indoor,6,37,1,7,1.04055E-06,0,100,30
183750,1.22,4,0,0,0,0,3,3,0,6,0,2,1,16.66666667,0,0,50,-44,13.1,0.23,8509.8,8.757190635,1 Indoor,6,37,1,7,6.91393E-08,0,97.52,30
183750,1.22,4,0,0,0,0,3,3,0,6,0,2,1,16.66666667,0,0,50,-44,13.1,0.23,8509.8,8.757190635,1 Indoor,6,37,1,7,7.87226E-08,0,97.52,30
183750,1.22,7,4,20,4,4,3,6,0,16,1,7,2,10.52631579,1,63.64,74.9,-20,10,0.23,8509.8,8.757190635,1 Indoor,6,37,1,7,3.06647E-07,0,93.19,30
183750,1.22,7,4,20,4,4,3,6,0,16,1,7,2,10.52631579,1,63.64,74.9,-20,10,0.23,8509.8,8.757190635,1 Indoor,6,37,1,7,6.53476E-07,0,93.19,30
183750,1.22,7,4,20,4,4,3,6,0,16,1,7,2,10.52631579,1,63.64,74.9,-20,10,0.23,8509.8,8.757190635,1 Indoor,6,37,1,7,5.41644E-07,0,93.19,30
46000,1.305,7,0,0,0,0,5,5,0,10,0,4,2,18.18181818,0,0,45,-35,32,0.5,5100,4.08,1 Indoor,7,30,1,7.2,1.1725E-06,2.692,69.83,35
46000,1.305,7,0,0,0,0,5,5,0,10,0,4,2,18.18181818,0,0,45,-35,32,0.5,5100,4.08,1 Indoor,0,30,1,7.2,1.7708E-06,0.3898,8.255,35
100289,1.1438,6,11,20,0,0,5,14,0,28,0,6,3,13.04347826,0,0,66.3,-60,56.5,0.5,5100,4.08,1 Indoor,7,30,1,7.2,2.1655E-06,0,16.38,35
143160,1.1438,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,67.2,-61.6,62.01,0.5,5100,4.08,1 Indoor,0,30,1,7.2,3.3218E-09,0,86.5,35
143160,1.1438,6,0,0,0,0,5,5,0,10,0,2,1,12.5,0,0,67.2,-61.6,62.01,0.5,5100,4.08,1 Indoor,7,30,1,7.2,1.5637E-06,0,6.331,35
100289,1.1438,6,11,30,0,0,5,14,0,28,0,6,3,13.04347826,0,0,65.8,-60,56,0.5,5100,4.08,1 Indoor,7,30,1,7.2,1.7847E-06,0,21.13,35
100289,1.1438,6,11,10,0,0,5,14,0,28,0,6,3,13.04347826,0,0,65.6,-60,55.5,0.5,5100,4.08,1 Indoor,7,30,1,7.2,2.0382E-06,0,10.54,35
100289,1.1438,6,11,40,0,0,5,14,0,28,0,6,3,13.04347826,0,0,65.5,-60,55,0.5,5100,4.08,1 Indoor,7,30,1,7.2,1.4456E-06,0,36.06,35
65936,1.25,13,0,0,0,0,11,11,0,22,0,4,2,11.76470588,0,0,55.3,-52.5,42.1,0.4,424,5.3,1 Indoor,7,37,1,7.2,3.0752E-06,0.2594,100,15
86343,1.25,13,0,0,0,0,11,11,0,22,0,4,2,11.76470588,0,0,60.3,-52.9,45.4,0.4,424,5.3,1 Indoor,7,37,1,7.2,1.8646E-06,0,66.5,30
485000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,175,-4.5,61.07,0.04,410.5,50.26666667,1 Indoor,0,37,1,7.4,6.8958E-06,0,1.15,30
